SoC_band,DeltaMAE_Thermal_mV,DeltaMAE_TplusRate_mV,N
0-20,40.2845574935447,118.1354933056209,1132
20-60,30.30133931482691,104.44080468318886,2856
60-90,35.811194458976516,119.32755169473411,2157
90-100,87.40807774699388,182.83327005545596,254
