Variant,Delta_MAE_V,Delta_RMSE_V,Delta_MAE_mV,Delta_RMSE_mV,N_applied,Payout_per_point_mV_per_point,Payout_per_point_uV_per_point
Baseline,0.0,0.0,0.0,0.0,0,,
Thermal,0.0013500249144044463,0.0009211676795650159,1.3500249144044463,0.9211676795650159,252,0.005357241723827168,5.357241723827167
RateHist,0.0007018250128353054,0.0005097905572747363,0.7018250128353054,0.5097905572747363,258,0.002720251987733742,2.720251987733742
Both,0.0020518499272397517,0.0014338416229999762,2.0518499272397515,1.4338416229999762,510,0.004023235151450493,4.023235151450494
