Variant,N,MAE,RMSE,Delta_MAE_V,Delta_MAE_mV,Delta_MAE_CI95_low_V,Delta_MAE_CI95_high_V,Delta_MAE_CI95_low_mV,Delta_MAE_CI95_high_mV,Delta_RMSE_V,Delta_RMSE_mV,MAE_improvement_pct,RMSE_improvement_pct,Wilcoxon_p_greater,Wilcoxon_N_nonzero
Thermal,6399,0.08954350178503598,0.12592413012541012,0.03619145840937443,36.191458409374434,0.034392217172186344,0.038178804651120286,34.39221717218634,38.17880465112029,0.035648843659987495,35.64884365998749,28.783926406319683,22.063617958370035,2.904632966593218e-230,4793
T+Rate,6399,0.01074175872593446,0.035761850874921654,0.11499320146847593,114.99320146847593,0.11292540106839428,0.11725154488093165,112.92540106839428,117.25154488093165,0.12581112291047597,125.81112291047597,91.45682417258841,77.86644013718484,0.0,6132
