Variant,MAE,RMSE,N
Baseline,0.13049893141554272,0.16429736445805018,6399
Thermal,0.12914890650113828,0.16337619677848517,6399
RateHist,0.12979710640270742,0.16378757390077545,6399
Both,0.12844708148830297,0.1628635228350502,6399
