Variant,MAE,RMSE,N,Delta_MAE_V,Delta_RMSE_V,Delta_MAE_mV,Delta_RMSE_mV,MAE_reduction_pct,RMSE_reduction_pct
Thermal,0.08954350178503598,0.12592413012541012,6399,0.036191458409374405,0.035648843659987495,36.191458409374405,35.64884365998749,28.78392640631966,22.063617958370035
T+Rate,0.01074175872593446,0.035761850874921654,6399,0.11499320146847593,0.12581112291047597,114.99320146847593,125.81112291047597,91.45682417258841,77.86644013718484
