SoC_band,Thermal,RateHist,Both
0-20,2.179519858544601,1.526605788248217,3.7061256467928185
20-60,1.8656501910004204,0.6989922576335489,2.5646424486339554
60-90,0.3909578126584934,0.3553725623713089,0.7463303750298023
90-100,0.0,0.0,0.0
